Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/143/215/GCF_900143215.1_genomic.fna.gz	95.27	1.060	95.08-95.42	1.060	0.98-1.15	2	2.770	3319/22342	94.03	NZ_FRDM01000111.1 Geodermatophilus obscurus strain DSM 43162, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/073/715/GCF_023073715.1_genomic.fna.gz	95.24	0.171	94.58-95.80	0.171	0.14-0.21	1	1.249	1136/31738	89.81	NZ_JADPKA010000029.1 Bradyrhizobium sp. 164 09LoS36_4_1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/802/985/GCF_002802985.1_genomic.fna.gz	95.07	1.179	94.91-95.23	1.179	1.08-1.28	2	2.840	3495/23640	94.02	NZ_NVPT01000001.1 Geodermatophilus chilensis strain B12 NODE_1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/002/915/GCF_003002915.1_genomic.fna.gz	95.00	0.716	94.78-95.22	0.716	0.64-0.78	2	2.562	2290/21316	93.06	NZ_PVTG01000001.1 Geodermatophilus tzadiensis strain DSM 45416 Ga0056088_101, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/019/242/475/GCA_019242475.1_genomic.fna.gz	94.95	0.727	94.77-95.13	0.727	0.67-0.78	1	1.711	2788/26423	93.00	JAFAVK010000104.1 MAG: Acidobacteriota bacterium isolate CP_BM_RX_34 BM_RX_k147_10019186, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/695/375/GCF_014695375.1_genomic.fna.gz	94.83	0.034	92.56-95.42	0.034	0.03-0.07	1	1.027	182/26778	85.13	NZ_JACJOG010000001.1 Coleofasciculus sp. FACHB-T130 contig1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/907/675/GCF_016907675.1_genomic.fna.gz	94.82	0.762	94.59-95.06	0.762	0.68-0.82	2	2.604	2354/22431	92.99	NZ_JAFBCJ010000001.1 Geodermatophilus bullaregiensis strain DSM 46841 Ga0451093_01, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/306/785/GCF_000306785.1_genomic.fna.gz	94.77	0.522	94.52-95.03	0.522	0.47-0.57	1	2.027	1912/23943	92.17	NC_017955.1 Modestobacter marinus, complete sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/115/505/GCF_900115505.1_genomic.fna.gz	94.76	0.775	94.49-95.00	0.775	0.69-0.85	2	2.622	2143/20390	92.99	NZ_FOWQ01000016.1 Geodermatophilus dictyosporus strain DSM 44208, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/102/745/GCF_900102745.1_genomic.fna.gz	94.64	0.816	94.41-94.84	0.816	0.72-0.89	2	2.692	2165/20791	92.96	NZ_FMZF01000013.1 Geodermatophilus telluris strain DSM 45421, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/861/645/GCA_030861645.1_genomic.fna.gz	94.61	0.257	93.77-95.40	0.257	0.19-0.34	1	1.568	433/10138	90.33	JALZFG010000293.1 MAG: Actinomycetota bacterium isolate NAD bin4 SC8819-21_k127_1005889, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/920/635/GCF_002920635.1_genomic.fna.gz	94.56	0.209	94.16-95.02	0.209	0.17-0.24	1	1.322	1260/36560	89.71	NZ_PQSR01000001.1 Streptomyces sp. Ru72 contig00001, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/182/485/GCF_003182485.1_genomic.fna.gz	94.54	0.772	94.27-94.81	0.772	0.67-0.85	2	2.533	1927/19886	92.75	NZ_QGTX01000001.1 Geodermatophilus normandii strain DSM 45417 JD79DRAFT_unitig_0_quiver.1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/104/025/GCF_900104025.1_genomic.fna.gz	94.51	1.012	94.31-94.71	1.012	0.91-1.10	2	2.883	2438/21453	93.23	NZ_FNIQ01000012.1 Geodermatophilus sp. DSM 45219, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/005/930/475/GCF_005930475.1_genomic.fna.gz	94.50	0.510	94.20-94.81	0.510	0.45-0.56	1	2.061	1624/22327	91.89	NZ_SJEW01000100.1 Modestobacter altitudinis strain 1G4 sequence_100a, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/000/620/205/GCA_000620205.1_genomic.fna.gz	94.48	0.541	94.22-94.72	0.541	0.49-0.60	1	2.076	1708/22676	92.00	JHVP01000001.1 Geodermatophilaceae bacterium URHA0031 N543DRAFT_scaffold00001.1_C, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/937/881/255/GCA_937881255.1_genomic.fna.gz	94.48	0.648	94.25-94.78	0.648	0.57-0.72	1	1.543	1431/17005	92.33	CALGFH010000001.1 MAG TPA_asm: uncultured actinobacterium isolate ERR671912_bin.21_CONCOCT_v1.1_MAG genome assembly, contig: ERZ1756298.6061, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/188/205/GCF_900188205.1_genomic.fna.gz	94.46	0.725	94.20-94.74	0.725	0.64-0.81	2	2.651	1932/21239	92.56	NZ_FZOH01000020.1 Geodermatophilus saharensis strain DSM 45423, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/182/545/GCF_900182545.1_genomic.fna.gz	94.45	0.727	94.20-94.69	0.727	0.64-0.80	2	2.441	2141/23550	92.56	NZ_FXTJ01000001.1 Geodermatophilus aquaeductus strain DSM 46834, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/005/885/565/GCA_005885565.1_genomic.fna.gz	94.45	0.794	94.13-94.75	0.794	0.69-0.90	1	1.970	1328/13734	92.74	VAXK01000223.1 MAG: Actinobacteria bacterium isolate AC_30 14_1009_12_20cm_scaffold_10023, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/005/930/495/GCF_005930495.1_genomic.fna.gz	94.43	0.554	94.16-94.67	0.554	0.50-0.61	1	2.061	1724/22909	91.99	NZ_SJEX01000100.1 Modestobacter excelsi strain 1G6 sequence100, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/408/985/GCF_013408985.1_genomic.fna.gz	94.31	0.645	94.04-94.51	0.645	0.57-0.72	1	2.306	1868/23213	92.19	NZ_JACBZT010000001.1 Pleomorpha daqingensis strain DSM 104001 Ga0374049_01, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/116/515/GCF_900116515.1_genomic.fna.gz	94.31	0.676	94.02-94.54	0.676	0.60-0.76	2	2.525	2077/25172	92.27	NZ_FPBA01000069.1 Geodermatophilus amargosae strain DSM 46136, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/188/375/GCF_900188375.1_genomic.fna.gz	94.30	0.900	94.08-94.54	0.900	0.79-1.00	2	2.945	1853/18668	92.82	NZ_FZOO01000026.1 Geodermatophilus pulveris strain DSM 46839, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/368/435/GCF_002368435.1_genomic.fna.gz	94.26	0.047	92.82-96.26	0.047	0.02-0.08	1	1.046	306/40596	85.41	NZ_AP018268.1 Scytonema sp. NIES-4073 DNA, nearly complete genome
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/716/535/GCF_000716535.1_genomic.fna.gz	94.26	0.207	93.75-94.79	0.207	0.17-0.24	1	1.290	1379/44588	89.39	NZ_JNWV01000001.1 Streptomyces flaveolus strain NRRL B-1589 contig1.1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/019/239/425/GCA_019239425.1_genomic.fna.gz	94.20	0.703	93.96-94.40	0.703	0.65-0.76	1	1.763	2557/31694	92.20	JAFAZX010000057.1 MAG: Acidobacteriota bacterium isolate CP_BM_RX_R9_16 BM_RX_R9_k147_1007696, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/936/755/GCA_025936755.1_genomic.fna.gz	94.13	0.503	93.59-94.66	0.503	0.40-0.62	1	1.703	654/10358	91.47	JAICSS010000006.1 MAG: Solirubrobacterales bacterium isolate GZL_HYHR_2_bin.66 k141_1134361_length_118204_cov_22.9962, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/129/495/GCF_900129495.1_genomic.fna.gz	94.12	0.813	93.86-94.36	0.813	0.72-0.90	2	2.633	1814/20622	92.46	NZ_FQVX01000011.1 Geodermatophilus nigrescens strain DSM 45408, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/006/717/045/GCF_006717045.1_genomic.fna.gz	94.11	0.282	93.70-94.57	0.282	0.24-0.33	1	1.470	1390/35828	90.05	NZ_VFPH01000001.1 Pseudonocardia cypriaca strain DSM 45511 Ga0310437_11, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/005/883/235/GCA_005883235.1_genomic.fna.gz	94.11	0.661	93.70-94.48	0.661	0.54-0.77	1	2.050	617/8002	92.07	VAYE01000155.1 MAG: Actinobacteria bacterium isolate AC_50 14_1009_09_20cm_scaffold_10021, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/920/615/GCF_002920615.1_genomic.fna.gz	94.11	0.227	93.66-94.58	0.227	0.19-0.26	1	1.334	1316/41120	89.49	NZ_PQSU01000001.1 Streptomyces sp. Ru62 contig00001, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/195/485/GCF_014195485.1_genomic.fna.gz	94.05	0.689	93.81-94.32	0.689	0.62-0.75	1	2.297	1523/19670	92.08	NZ_JACIBU010000001.1 Modestobacter versicolor strain DSM 16678 Ga0197468_01, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/642/135/GCF_025642135.1_genomic.fna.gz	94.03	0.219	93.59-94.55	0.219	0.18-0.25	1	1.303	1205/39787	89.33	NZ_CP106793.1 Streptomyces sp. HUAS 13-4 chromosome unmamed1, complete sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/773/455/GCA_030773455.1_genomic.fna.gz	94.02	0.991	93.79-94.27	0.991	0.85-1.11	2	2.938	1521/15997	92.69	JALYNA010000001.1 MAG: Actinomycetota bacterium isolate ATA bin25 SD1493-95_k127_185383, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/571/065/GCF_004571065.1_genomic.fna.gz	93.96	0.987	93.72-94.21	0.987	0.87-1.09	2	3.088	1775/18913	92.65	NZ_SPQN01000100.1 Geodermatophilus sp. DF01_2 NODE_100_length_12964_cov_181.461245, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/319/115/GCF_003319115.1_genomic.fna.gz	93.94	0.860	93.66-94.18	0.860	0.76-0.94	2	2.889	1750/20369	92.39	NZ_QOHF01000010.1 Geodermatophilus sp. TF02-6 NODE_10_length_162886_cov_273.841969, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/115/395/GCF_900115395.1_genomic.fna.gz	93.83	0.813	93.50-94.10	0.813	0.72-0.93	2	2.678	1704/21292	92.18	NZ_FOWE01000020.1 Geodermatophilus obscurus strain DSM 43161, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/020/200/135/GCA_020200135.1_genomic.fna.gz	93.81	0.737	93.57-94.03	0.737	0.67-0.80	1	1.804	1650/22453	91.92	JAIVJI010000128.1 MAG: Acidobacteria bacterium isolate MAG45 MTG45_10027, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/852/475/GCA_030852475.1_genomic.fna.gz	93.80	0.430	93.25-94.28	0.430	0.35-0.52	1	1.550	527/10520	90.79	JALYWY010000386.1 MAG: Actinomycetota bacterium isolate KUW bin25 SD1473_k127_101019, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/862/075/GCA_030862075.1_genomic.fna.gz	93.75	0.282	92.89-94.69	0.282	0.20-0.37	1	1.510	390/11289	89.71	JALZEL010000369.1 MAG: Actinomycetota bacterium isolate NEG bin12 SC8816-18_k127_1007713, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/650/115/GCF_014650115.1_genomic.fna.gz	93.72	0.235	93.35-94.23	0.235	0.19-0.27	1	1.341	1221/41979	89.22	NZ_BMUI01000001.1 Streptomyces olivaceoviridis strain JCM 4499 sequence001, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/860/625/GCA_030860625.1_genomic.fna.gz	93.71	0.542	93.20-94.26	0.542	0.42-0.66	1	1.752	521/8936	91.24	JALZHV010000222.1 MAG: Actinomycetota bacterium isolate SON bin11 SC8835_NODE_1020_length_3756_cov_0.869661, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/022/085/GCF_000022085.1_genomic.fna.gz	93.70	0.200	93.05-94.19	0.200	0.17-0.24	1	1.341	863/34702	88.77	NC_011894.1 Methylobacterium nodulans ORS 2060, complete sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/020/201/365/GCA_020201365.1_genomic.fna.gz	93.68	0.411	93.24-94.00	0.411	0.36-0.48	1	1.476	825/18014	90.53	JAIVGV010000260.1 MAG: Acidobacteria bacterium isolate MAG110 MTG110_100018, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/004/570/425/GCA_004570425.1_genomic.fna.gz	93.62	0.778	93.29-93.91	0.778	0.69-0.89	2	2.749	1293/17637	91.92	SPQJ01000075.1 Bacillus sp. AZ43 NODE_1038_length_1214_cov_127.497700, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/319/185/GCF_003319185.1_genomic.fna.gz	93.60	0.832	93.28-93.93	0.832	0.71-0.96	2	2.853	1345/17827	92.00	NZ_QOHJ01000032.1 Blastococcus sp. TF02A-30 NODE_10140_length_548_cov_4.743468, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/966/175/GCA_025966175.1_genomic.fna.gz	93.50	0.511	93.01-93.95	0.511	0.43-0.61	1	2.245	906/17487	90.89	JAOPVN010000456.1 MAG: Modestobacter sp. isolate RYN_149 scaffold_1000817, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/319/095/GCF_003319095.1_genomic.fna.gz	93.50	0.737	93.17-93.81	0.737	0.64-0.81	2	2.787	1148/16960	91.68	NZ_QOHI01000010.1 Blastococcus sp. TBT05-19 NODE_10_length_3628_cov_706.708655, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/946/479/725/GCA_946479725.1_genomic.fna.gz	93.47	0.559	92.93-93.93	0.559	0.45-0.71	1	1.668	575/10360	91.09	CAMLHB010000001.1 MAG: uncultured actinobacterium isolate SRR10754057_bin.1_metawrap_v1.3.0_MAG genome assembly, contig: ERZ12633351_147, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/021/698/975/GCF_021698975.1_genomic.fna.gz	93.45	0.765	93.16-93.74	0.765	0.66-0.86	2	2.871	1282/18885	91.69	NZ_SSXA01000001.1 Blastococcus sp. KM273128 scaffold_0, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/146/615/GCA_030146615.1_genomic.fna.gz	93.43	0.626	93.14-93.67	0.626	0.55-0.69	1	1.574	1581/27272	91.22	JASLBL010000716.1 MAG: Actinomycetes bacterium isolate CMU.bins.340 k141_10008213, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/102/115/GCA_900102115.1_genomic.fna.gz	93.43	0.650	93.12-93.76	0.650	0.57-0.73	2	2.705	1066/17595	91.35	FNAW01000030.1 Blastococcus sp. DSM 44205 genome assembly, contig: Ga0056091_scaffold00030.30, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/947/486/615/GCF_947486615.1_genomic.fna.gz	93.42	0.657	93.08-93.79	0.657	0.58-0.73	2	2.637	1241/20385	91.37	NZ_CANKUD010000001.1 Uncultured Modestobacter sp. isolate 2B2-61.fasta NODE_1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/612/865/GCF_016612865.1_genomic.fna.gz	93.41	0.747	93.11-93.73	0.747	0.63-0.84	2	2.746	1151/17478	91.60	NZ_JAENZZ010000001.1 Blastococcus sp. TML/M2B tmlm2b000001, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/102/425/GCF_900102425.1_genomic.fna.gz	93.41	0.656	93.12-93.76	0.656	0.55-0.73	2	2.651	1098/18029	91.37	NZ_FNBT01000018.1 Blastococcus aurantiacus strain DSM 44268, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/215/145/GCF_900215145.1_genomic.fna.gz	93.36	0.796	93.06-93.65	0.796	0.69-0.88	2	2.803	1606/23816	91.67	NZ_OBDO01000025.1 Geodermatophilus sabuli strain DSM 46844, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/188/025/GCF_900188025.1_genomic.fna.gz	93.36	0.616	92.99-93.75	0.616	0.53-0.69	2	2.624	1265/22131	91.18	NZ_FZNO01000088.1 Blastococcus mobilis strain DSM 44272, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/428/645/GCF_003428645.1_genomic.fna.gz	93.36	0.754	93.10-93.60	0.754	0.65-0.84	2	2.839	1470/22472	91.58	NZ_QVQH01000001.1 Geodermatophilus sp. LHW52908 scaffold1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/007/994/135/GCF_007994135.1_genomic.fna.gz	93.36	0.652	93.01-93.70	0.652	0.57-0.72	2	2.720	1141/19387	91.27	NZ_VLKF01000001.1 Modestobacter roseus strain DSM 45764 JD78DRAFT_unitig_0_quiver.1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/400/655/GCF_020400655.1_genomic.fna.gz	93.34	0.255	92.89-93.87	0.255	0.21-0.30	1	1.377	1092/39583	89.06	NZ_JAINRC010000010.1 Streptomyces spinosus strain SBTS01 10_length_350598_depth_0.73x, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/152/105/GCA_030152105.1_genomic.fna.gz	93.33	0.665	93.02-93.62	0.665	0.59-0.75	1	1.612	1253/21444	91.25	JASLIH010000404.1 MAG: Actinomycetes bacterium isolate UTK.bins.114 k141_10010476, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/114/385/GCF_900114385.1_genomic.fna.gz	93.33	0.822	93.02-93.60	0.822	0.72-0.92	2	2.849	1479/21673	91.70	NZ_FOSW01000032.1 Geodermatophilus ruber strain DSM 45317, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/005/885/405/GCA_005885405.1_genomic.fna.gz	93.31	0.480	92.72-93.76	0.480	0.40-0.58	1	1.627	534/11349	90.61	VAYN01000008.1 MAG: Actinobacteria bacterium isolate AC_59 14_0903_09_30cm_scaffold_126, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/902/805/535/GCA_902805535.1_genomic.fna.gz	93.30	0.646	92.83-93.67	0.646	0.53-0.75	2	2.630	861/15016	91.19	CADCTN010000001.1 MAG: uncultured Blastococcus sp. isolate AVDCRST_MAG52 genome assembly, contig: NODE1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/935/735/GCA_025935735.1_genomic.fna.gz	93.29	0.548	92.96-93.62	0.548	0.47-0.61	1	1.788	1341/26057	90.87	JAICUS010000665.1 MAG: Solirubrobacteraceae bacterium isolate GZL_ISSM_2_bin.103 k141_1008429_length_3041_cov_12.8355, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/010/686/765/GCF_010686765.1_genomic.fna.gz	93.28	0.766	93.01-93.58	0.766	0.68-0.85	2	2.769	1313/20330	91.54	NZ_JAAGWF010000018.1 Geodermatophilus sabuli strain I12A-02694 Scaffold10_1, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/570/345/GCF_004570345.1_genomic.fna.gz	93.28	0.697	92.92-93.64	0.697	0.58-0.79	2	2.694	935/15440	91.35	NZ_SPQM01000100.1 Blastococcus sp. CT_GayMR20 NODE_100_length_18460_cov_49.181531, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/319/105/GCF_003319105.1_genomic.fna.gz	93.27	0.763	92.97-93.52	0.763	0.67-0.85	2	2.646	1141/17869	91.51	NZ_QOHH01000037.1 Blastococcus sp. TF02-9 NODE_102_length_510_cov_2811.754569, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/166/105/GCF_020166105.1_genomic.fna.gz	93.26	0.746	92.95-93.61	0.746	0.64-0.84	2	2.756	1089/17260	91.47	NZ_JAIUJY010000001.1 Blastococcus sp. LR1 contig00001, whole genome shotgun sequence
S12485_1_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/861/005/GCA_030861005.1_genomic.fna.gz	93.25	0.296	92.45-94.20	0.296	0.20-0.38	1	1.717	399/12843	89.41	JALZGN010000010.1 MAG: Actinomycetota bacterium isolate SAD bin10 SC8822-24_k127_1000216, whole genome shotgun sequence
